Time,Vehicle speed (km/h),Engine RPM (RPM),Control module voltage (V),Relative accelerator pedal position (%),Accel Pedal Position (%),Battery Voltage (V),Current Gear (gear),Steering Wheel Angle (°)
03/06/2022 04:58:33.2989 下午,0,0,0,0,0,0,0,0
03/06/2022 04:58:35.3746 下午,11,0,0,0,0,0,0,0
03/06/2022 04:58:36.0909 下午,11,1532,14.2,0,0,0,0,0
03/06/2022 04:58:36.8940 下午,18,1906,14.2,0,0,0,0,0
03/06/2022 04:58:38.1156 下午,20,1976,14.2,0,0,0,0,0
03/06/2022 04:58:38.9769 下午,22,1907.5,14.2,0,0,0,0,0
03/06/2022 04:58:40.0181 下午,25,2164.5,14.2,0,0,0,0,0
03/06/2022 04:58:40.6453 下午,27,1614,14.2,0,0,0,0,0
03/06/2022 04:58:41.3066 下午,28,1531,14.2,0,0,0,0,0
03/06/2022 04:58:43.3382 下午,28,1444.25,14.2,0,0,0,0,0
03/06/2022 04:58:44.2169 下午,27,1309.75,14.2,0,0,0,0,0
03/06/2022 04:58:44.9633 下午,23,1176.5,14.2,0,0,0,0,0
03/06/2022 04:58:45.4431 下午,22,1211,14.224,0,0,0,0,0
03/06/2022 04:58:46.5659 下午,21,1310.5,14.224,0,0,0,0,0
03/06/2022 04:58:47.5664 下午,21,1308,14.224,0,0,0,0,0
03/06/2022 04:58:48.2900 下午,19,1288.25,14.224,0,0,0,0,0
03/06/2022 04:58:48.8275 下午,19,1519.5,14.224,0,0,0,0,0
03/06/2022 04:58:49.8482 下午,18,1622.25,14.224,0,0,0,0,0
03/06/2022 04:58:50.8495 下午,19,1678.25,14.224,0,0,0,0,0
03/06/2022 04:58:51.4334 下午,19,1687.25,14.224,0,0,0,0,0
03/06/2022 04:58:52.0983 下午,20,1926.75,14.224,0,0,0,0,0
03/06/2022 04:58:53.1444 下午,23,2094.75,14.224,0,0,0,0,0
03/06/2022 04:58:53.9922 下午,28,2588.5,14.271,0,0,0,0,0
03/06/2022 04:58:54.6269 下午,35,2955.75,14.271,0,0,0,0,0
03/06/2022 04:58:55.3371 下午,37,2401.5,14.271,0,0,0,0,0
03/06/2022 04:58:56.3136 下午,38,1949.5,14.271,0,0,0,0,0
03/06/2022 04:58:57.2246 下午,37,1762,14.271,0,0,0,0,0
03/06/2022 04:58:57.9278 下午,33,1082.5,14.271,0,0,0,0,0
03/06/2022 04:58:58.6693 下午,30,1038.5,14.271,0,0,0,0,0
03/06/2022 04:59:00.0534 下午,27,1309.25,14.271,0,0,0,0,0
03/06/2022 04:59:00.9126 下午,25,1214,14.271,0,0,0,0,0
03/06/2022 04:59:01.9476 下午,17,1331.25,14.271,0,0,0,0,0
03/06/2022 04:59:02.7089 下午,15,1316.5,14.153,0,0,0,0,0
03/06/2022 04:59:03.6787 下午,12,1306.5,14.153,0,0,0,0,0
03/06/2022 04:59:04.5375 下午,9,1297.5,14.153,0,0,0,0,0
03/06/2022 04:59:05.1696 下午,5,1146.25,14.153,0,0,0,0,0
03/06/2022 04:59:05.7870 下午,3,1067.5,14.153,0,0,0,0,0
03/06/2022 04:59:06.8307 下午,1,1012.5,14.153,0,0,0,0,0
03/06/2022 04:59:07.6813 下午,0,948,14.153,0,0,0,0,0
03/06/2022 04:59:08.2438 下午,0,844.75,14.153,0,0,0,0,0
03/06/2022 04:59:08.8643 下午,0,835.75,14.153,0,0,0,0,0
03/06/2022 04:59:09.9739 下午,0,807.5,14.153,0,0,0,0,0
03/06/2022 04:59:11.0086 下午,0,795.25,14.271,0,0,0,0,0
03/06/2022 04:59:11.8513 下午,0,753.5,14.271,0,0,0,0,0
03/06/2022 04:59:12.4963 下午,0,764,14.271,0,0,0,0,0
03/06/2022 04:59:13.5098 下午,0,757.25,14.271,0,0,0,0,0
03/06/2022 04:59:15.0135 下午,0,747,14.271,0,0,0,0,0
03/06/2022 04:59:16.5962 下午,0,769.25,14.271,0,0,0,0,0
03/06/2022 04:59:17.2233 下午,0,759.5,14.271,0,0,0,0,0
03/06/2022 04:59:18.3631 下午,0,768.5,14.271,0,0,0,0,0
03/06/2022 04:59:19.3135 下午,0,755.75,14.271,0,0,0,0,0
03/06/2022 04:59:19.9630 下午,0,761,14.271,0,0,0,0,0
03/06/2022 04:59:21.7530 下午,0,878,14.247,0,0,0,0,0
03/06/2022 04:59:23.0284 下午,0,869.25,14.247,0,0,0,0,0
03/06/2022 04:59:24.0043 下午,1,879.5,14.247,0,0,0,0,0
03/06/2022 04:59:24.6484 下午,1,877.75,14.247,0,0,0,0,0
03/06/2022 04:59:25.4855 下午,2,1157.25,14.247,0,0,0,0,0
03/06/2022 04:59:26.8318 下午,4,1377.5,14.247,0,0,0,0,0
03/06/2022 04:59:27.9132 下午,8,1571.5,14.247,0,0,0,0,0
03/06/2022 04:59:28.5272 下午,14,2069.25,14.247,0,0,0,0,0
03/06/2022 04:59:29.2534 下午,16,1782.75,14.247,0,0,0,0,0
03/06/2022 04:59:30.7774 下午,17,1608.25,14.247,0,0,0,0,0
03/06/2022 04:59:31.8226 下午,19,1631.5,14.318,0,0,0,0,0
03/06/2022 04:59:32.5449 下午,18,1252,14.318,0,0,0,0,0
03/06/2022 04:59:33.2034 下午,18,1292.75,14.318,0,0,0,0,0
03/06/2022 04:59:34.2614 下午,17,1315.5,14.318,0,0,0,0,0
03/06/2022 04:59:35.2129 下午,16,1281.75,14.318,0,0,0,0,0
03/06/2022 04:59:35.9587 下午,14,1298.75,14.318,0,0,0,0,0
03/06/2022 04:59:36.7476 下午,14,1642,14.318,0,0,0,0,0
03/06/2022 04:59:37.7303 下午,15,1773.25,14.318,0,0,0,0,0
03/06/2022 04:59:38.8895 下午,17,1839.75,14.318,0,0,0,0,0
03/06/2022 04:59:39.5999 下午,22,2080,14.318,0,0,0,0,0
03/06/2022 04:59:40.2798 下午,25,2246,14.224,0,0,0,0,0
03/06/2022 04:59:41.9990 下午,28,2352.75,14.224,0,0,0,0,0
03/06/2022 04:59:43.0239 下午,30,1730.5,14.224,0,0,0,0,0
03/06/2022 04:59:43.6949 下午,31,1627.25,14.224,0,0,0,0,0
03/06/2022 04:59:44.3174 下午,30,1457,14.224,0,0,0,0,0
03/06/2022 04:59:45.3135 下午,29,1393,14.224,0,0,0,0,0
03/06/2022 04:59:46.0755 下午,28,1370.5,14.224,0,0,0,0,0
03/06/2022 04:59:46.5748 下午,27,1361.5,14.224,0,0,0,0,0
03/06/2022 04:59:47.2306 下午,25,1259.75,14.224,0,0,0,0,0
03/06/2022 04:59:48.4298 下午,24,1219.5,14.224,0,0,0,0,0
03/06/2022 04:59:49.5083 下午,23,1200,14.247,0,0,0,0,0
03/06/2022 04:59:50.4043 下午,19,1309.25,14.247,0,0,0,0,0
03/06/2022 04:59:51.0638 下午,17,1302.75,14.247,0,0,0,0,0
03/06/2022 04:59:52.0745 下午,15,1322,14.247,0,0,0,0,0
03/06/2022 04:59:53.3018 下午,13,1311.5,14.247,0,0,0,0,0
03/06/2022 04:59:53.9999 下午,9,1278.75,14.247,0,0,0,0,0
03/06/2022 04:59:54.6592 下午,7,1259.75,14.247,0,0,0,0,0
03/06/2022 04:59:58.8257 下午,5,1185.75,14.247,0,0,0,0,0
03/06/2022 04:59:59.6927 下午,4,1163.75,14.247,0,0,0,0,0
03/06/2022 05:00:00.4908 下午,0,849,14.247,0,0,0,0,0
03/06/2022 05:00:01.2004 下午,0,848,14.318,0,0,0,0,0
03/06/2022 05:00:02.2930 下午,0,830.25,14.318,0,0,0,0,0
03/06/2022 05:00:05.7495 下午,0,844.75,14.318,0,0,0,0,0
